nom_complet_taxon_referentiel;nom_valide
Alchemilla micans Buser, 1893;Alchemilla acutiloba var. micans (Buser) B.Bock, 2012
Alchemilla vulgaris L., 1753;Alchemilla acutiloba Opiz, 1838
Alliaria Fabr., 1759;Alliaria Heist. ex Fabr., 1759
Allium ampeloprasum var. porrum (L.) J.Gay, 1847;Allium porrum L., 1753
Allium coppoleri Tineo, 1827;Allium pallens L., 1762
Allium cyrilli Ten.;Allium cyrilli Ten., 1829
Allium oleraceum L. subsp. oleraceum;Allium oleraceum L., 1753
Allium rotundum L. subsp. rotundum;Allium rotundum L., 1762
Allium sativum L. subsp. sativum;Allium sativum L., 1753
Alopecurus alpinus Vill., 1786;Alopecurus gerardi Vill., 1786
Aloysia citrodora Palau, 1784;Aloysia citrodora Paláu, 1784
Alternanthera sessilis (L.) R.Br. ex DC., 1813;Alternanthera sessilis (L.) DC., 1813
Althaea hirsuta L., 1753;Malva setigera Spenn., 1829
Althaea longiflora Boiss. & Reut., 1842;Malva longiflora (Boiss. & Reut.) B.Bock, 2012
Alyssum simplex Rudolphi subsp. simplex;Alyssum simplex Rudolphi, 1799
Amaranthus blitum L. subsp. blitum var. blitum;Amaranthus blitum var. blitum 
Amaranthus blitum L. subsp. blitum var. oleraceus (L.) Hook.f.;Amaranthus blitum var. oleraceus (L.) Hook.f., 1885
Amaranthus blitum L. var. pseudogracilis (Thell.) Lambinon;Amaranthus blitum var. pseudogracilis (Thell.) Lambinon, 1993
Amaranthus blitum subsp. emarginatus (Moq. ex Uline & W.L.Bray) Carretero, Muñoz Garm. & Pedrol, 1987;Amaranthus blitum subsp. emarginatus (Salzm. ex Uline & W.L.Bray) Carretero, Muñoz Garm. & Pedrol, 1987
Anacamptis coriophora subsp. fragrans (Pollini) R.M.Bateman, Pridgeon & Chase, 1997;Anacamptis fragrans (Pollini) R.M.Bateman, 2003
Anacamptis laxiflora (Lam.) Bateman, Pridgeon & Chase subsp. laxiflora;Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase, 1997
Anacamptis palustris var. palustris ;Anacamptis palustris (Jacq.) Bateman, Pridgeon & Chase subsp. palustris
Anacamptis papilionacea var. rubra (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase;Anacamptis papilionacea var. rubra (Jacq.) B.Bock
Anacamptis x albertii (A.Camus) B.Bock;Anacamptis x albertii (A.Camus) B.Bock, 2012
Anacamptis x heracleus (Verg.) B.Bock;Anacamptis x heraclea (Verg.) F.M.Vázquez, 2009
Anacamptis x nicodemii (Ten.) B.Bock;Anacamptis x nicodemii (Ten.) B.Bock, 2012
Anacamptis x parvifolia (Chaub.) comb.nov. n-subsp. parvifolia;Anacamptis x parvifolia (Chaub.) H.Kretzschmar, Eccarius & H.Dietr., 2007
Anchusa officinalis subsp. officinalis ;Anchusa officinalis L., 1753
Anchusa officinalis subsp. procera (Besser ex Link) Lambinon, 2004;Anchusa procera Besser ex Link, 1821
Anchusa undulata L. subsp. hybrida (Ten.) Cout.;Anchusa undulata subsp. hybrida (Ten.) Cout., 1913
Anemone pavonina Lam., 1783;Anemone hortensis subsp. pavonina (Lam.) Arcang., 1882
Antennaria carpatica subsp. amphilanata Chrtek & Pouzar, 1985;Antennaria carpatica subsp. helvetica (Chrtek & Pouzar) Chrtek & Pouzar
Anthemis saxatilis DC. ex Willd., 1809;Anthemis cretica subsp. saxatilis (DC. ex Willd.) R.Fern., 1975
Anthemis saxatilis DC. ex Willd. var. saxatilis;Anthemis cretica var. saxatilis 
Anthemis saxatilis var. macrocephala (Jeanb. & Timb.-Lagr.) Benedi González, 1991;Anthemis cretica var. macrocephala (Jeanb. & Timb.-Lagr.) B.Bock, 2012
Anthoxanthum odoratum L. subsp. odoratum;Anthoxanthum odoratum L., 1753
Anthoxanthum odoratum subsp. nipponicum (Honda) Tzvelev, 1967;Anthoxanthum alpinum Á.Löve & D.Löve, 1948
Anthyllis vulneraria subsp. praepropera (A.Kern.) Bornm., 1925;Anthyllis vulneraria subsp. rubriflora Arcang., 1882
Anthyllis vulneraria subsp. sampaiona (Rothm.) Vasc., 1962;Anthyllis vulneraria subsp. forondae (Sennen) Cullen, 1968
Antirrhinum latifolium Mill., 1768;Antirrhinum majus subsp. latifolium (Mill.) Bonnier & Layens, 1894
Antirrhinum latifolium Mill. subsp. latifolium;Antirrhinum majus var. pseudomajus Rouy, 1882
Apiaceae J. Lindley, 1836;Apiaceae Lindl., 1836
Aquilegia viscosa Gouan subsp. viscosa;Aquilegia viscosa Gouan, 1764
Aquilegia viscosa subsp. hirsutissima (Timb.-Lagr.) Breistr., 1981;Aquilegia hirsutissima Timb.-Lagr., 1872
Arabidopsis arenosa subsp. borbasii (Zapal.) O’Kane & Al-Shehbaz, 1997;Arabidopsis arenosa subsp. borbasii (Zapal.) O'Kane & Al-Shehbaz, 1997
Arabidopsis halleri (L.) O’Kane & Al-Shehbaz, 1997;Arabidopsis halleri (L.) O'Kane & Al-Shehbaz, 1997
Arabis cebennensis DC., 1821;Arabidopsis cebennensis (DC.) O'Kane & Al-Shehbaz
Arabis rosea DC., 1821;Arabis collina subsp. rosea (DC.) Minuto, 1992
Arabis turrita L., 1753;Pseudoturritis turrita (L.) Al-Shehbaz, 2005
Arachis L.;Arachis L., 1753
Arbutus x andrachnoides Link;Arbutus x andrachnoides Link, 1821
Arctium;Arctium L., 1753
Arctium minus (Hill) Bernh. subsp. minus;Arctium minus (Hill) Bernh., 1800
Arctium minus subsp. pubens (Bab.) P.Fourn., 1928;Arctium minus (Hill) Bernh., 1800
Arenaria gothica subsp. moehringioides (J.Murray) P.S.Wyse Jacks. & Parn., 1987;Arenaria multicaulis L., 1759
Arenaria serpyllifolia L. subsp. serpyllifolia;Arenaria serpyllifolia L., 1753
Arenaria serpyllifolia subsp. leptoclados (Rchb.) Nyman, 1878;Arenaria leptoclados (Rchb.) Guss., 1844
Arenaria serpyllifolia subsp. marschlinsii (W.D.J.Koch) Nyman, 1878;Arenaria marschlinsii W.D.J.Koch, 1841
Arenaria serpyllifolia var. lloydii (Jord.) J.Lloyd, 1868;Arenaria serpyllifolia var. macrocarpa J.Lloyd, 1844
Armeria arenaria (Pers.) Schult. subsp. pradetensis Médail, Baumel & Auda;Armeria arenaria subsp. pradetensis Médail, Baumel & Auda, 2009
Armeria leucocephala var. leucocephala ;Armeria leucocephala f. leucocephala 
Arnica montana L. subsp. montana;Arnica montana var. montana 
Arrhenatherum elatius (L.) P.Beauv. ex J. & C.Presl subsp. elatius;Arrhenatherum elatius subsp. elatius (L.) P.Beauv. ex J.Presl & C.Presl
Arrhenatherum P. Beauv., 1812;Arrhenatherum P.Beauv., 1812
Artemisia campestris subsp. borealis (Pall.) H.M.Hall & Clem., 1923;Artemisia borealis Pall., 1776
Artemisia verlotiorum Lamotte, 1876;Artemisia verlotiorum Lamotte, 1877
Asperula cynanchica subsp. longiflora (Waldst. & Kit.) Bonnier & Layens, 1894;Asperula aristata subsp. longiflora (Waldst. & Kit.) Hayek, 1924
Asperula cynanchica var. cynanchica ;Asperula cynanchica f. cynanchica 
Asperula cynanchica var. oreophila Briq., 1900;Asperula cynanchica subsp. oreophila (Briq.) J.M.Tison, 2010
Asphodelus macrocarpus Parl. subsp. macrocarpus;Asphodelus macrocarpus subsp. macrocarpus 
Asphodelus macrocarpus var. macrocarpus ;Asphodelus macrocarpus subsp. macrocarpus 
Asplenium nidus L.;Asplenium nidus L., 1753
Asteraceae B.V. Berchtold & J.S. Presl, 1820;Asteraceae Bercht. & J.Presl, 1820
Aster pilosus Willd.;Symphyotrichum pilosum (Willd.) G.L.Nesom, 1995
Astragalus scorpioides Pourr. ex Willd.;Astragalus scorpioides Pourr. ex Willd., 1802
Astragalus sempervirens subsp. alpinus Pignatti, 1973;Astragalus sempervirens Lam. subsp. sempervirens
Astragalus vesicarius L. subsp. pastellianus (Pollini) Arcang.;Astragalus vesicarius subsp. pastellianus (Pollini) Arcang., 1882
Atriplex patula L. subsp. patula;Atriplex patula L., 1753
Atriplex prostrata Boucher ex DC. subsp. deltoidea (Bab.) Rauschert;Atriplex prostrata subsp. deltoidea (Bab.) Rauschert, 1974
Atriplex prostrata Boucher ex DC. subsp. latifolia (Wahlenb.) Rauschert;Atriplex prostrata subsp. latifolia (Wahlenb.) Rauschert, 1974
Avellinia michelii (Savi) Parl., 1842;Avellinia festucoides (Link) Valdés & H.Scholz, 2006
Avena sativa subsp. fatua (L.) Thell.;Avena fatua L., 1753
Avena sativa subsp. sterilis (L.) De Wet, 1981;Avena sterilis L., 1762
Avena sativa var. atherantha (C.Presl) B.Bock;Avena sterilis subsp. atherantha (C.Presl) Scholz, 1991
Avena sativa var. fatua ;Avena fatua L., 1753
Avena sativa var. ludoviciana (Durieu) B.Bock;Avena sterilis subsp. ludoviciana (Durieu) Nyman, 1882
Avena sativa var. septentrionalis (Malzev) B.Bock;Avena fatua subsp. septentrionalis (Malzev) Malzev, 1929
Avena sativa var. sterilis ;Avena sterilis L., 1762
Avena sativa var. trichophylla (K.Koch) B.Bock;Avena sterilis var. trichophylla (K.Koch) B.Bock
Avena strigosa subsp. lusitanica (Tab.Morais) Jauzein, 1995;Avena barbata subsp. lusitanica (Tab.Morais) Romero Zarco, 1986
Avenula bromoides (Gouan) H.Scholz, 1974;Helictochloa bromoides (Gouan) Romero Zarco, 2011
Avenula Dumort., 1868;Avenula (Dumort.) Dumort., 1868
Avenula marginata (Lowe) Holub, 1977;Helictochloa marginata (Lowe) Romero Zarco, 2011
Avenula marginata subsp. marginata ;Helictochloa marginata (Lowe) Romero Zarco, 2011
Avenula pratensis (L.) Dumort., 1868;Helictochloa pratensis (L.) Romero Zarco, 2011
Avenula pratensis (L.) Dumort. subsp. pratensis;Helictochloa pratensis subsp. pratensis 
Avenula pratensis subsp. iberica (St.-Yves) Romero Zarco, 1984;Helictochloa pratensis subsp. iberica (St.-Yves) Romero Zarco, 2011
Avenula pratensis subsp. requienii (Mutel) Romero Zarco, 1984;Helictochloa pratensis subsp. amethystea (Braun-Blanq.) Romero Zarco, 2011
Avenula versicolor subsp. praetutiana (Parl. ex Arcang.) Holub, 1976;Helictochloa versicolor subsp. praetutiana (Arcang.) Romero Zarco, 2011
Avenula versicolor (Vill.) Laínz, 1974;Helictochloa versicolor (Vill.) Romero Zarco, 2011
Avenula versicolor (Vill.) Laínz subsp. versicolor;Helictochloa versicolor subsp. versicolor 
Axyris amaranthoides L.;Axyris amaranthoides L., 1753
Baldellia ranunculoides (L.) Parl. subsp. ranunculoides;Baldellia ranunculoides (L.) Parl., 1854
Ballota frutescens (L.) J.Woods, 1850;Acanthoprasium frutescens Spenn., 1843
Ballota nigra subsp. meridionalis (Bég.) Bég., 1909;Ballota nigra subsp. foetida (Vis.) Hayek, 1929
Balsamita major Desf., 1792;Tanacetum balsamita L., 1753
Balsamita major Desf. subsp. major;Tanacetum balsamita subsp. balsamita 
Balsamita major subsp. balsamitoides (Sch.Bip.) Kerguélen, 1987;Tanacetum balsamita subsp. balsamitoides (Sch.Bip.) Grierson
Barbarea;Barbarea R.Br.
Barbarea verna (Mill.) Asch., 1866;Barbarea verna (Mill.) Asch., 1864
Barbarea vulgaris R.Br., 1812;Barbarea vulgaris W.T.Aiton, 1812
Barbarea vulgaris R.Br. subsp. arcuata (Opiz) Neuman;Barbarea vulgaris W.T.Aiton, 1812
Barbarea vulgaris R.Br. subsp. vulgaris;Barbarea vulgaris W.T.Aiton, 1812
Barbarea vulgaris R.Br. subsp. vulgaris var. rivularis (Martrin-Donos) P.Fourn.;Barbarea vulgaris W.T.Aiton, 1812
Barbarea vulgaris R.Br. subsp. vulgaris var. vulgaris;Barbarea vulgaris W.T.Aiton, 1812
Bassia crassifolia (Pall.) Soldano, 1994;Spirobassia hirsuta (L.) Freitag & G.Kadereit, 2011
Bellis annua L. subsp. annua;Bellis annua L., 1753
Berardia subacaulis Vill., 1779;Berardia lanuginosa (Lam.) Fiori, 1904
Berberis gagnepainii C.K.Schneid.;Berberis gagnepainii C.K.Schneid., 1908
Bergenia crassifolia (L.) Fritsch;Bergenia crassifolia (L.) Fritsch, 1889
Betula pubescens subsp. glutinosa Berher, 1887;Betula pubescens var. glabrata Wahlenb.
Betula pubescens subsp. pubescens ;Betula pubescens var. pubescens 
Bidens comosa Wiegand, 1897;Bidens tripartita subsp. comosa (A.Gray) A.Haines, 2010
Blysmus Schultes, 1824;Blysmus Panzer ex Schultes, 1824
Bolboschoenus maritimus subsp. cymosus (Rchb.) Soják, 1972;Bolboschoenus laticarpus Marhold, Hroudová, Duchácek & Zákr., 2004
Bolboschoenus maritimus subsp. macrostachys (Willd.) Soják, 1983;Bolboschoenus glaucus (Lam.) S.G.Sm., 1995
Bolboschoenus maritimus subsp. yagara (Ohwi) Jauzein, 2010;Bolboschoenus yagara (Ohwi) A.E.Kozhevn., 1988
Bolboschoenus maritimus var. planiculmis (F.Schmidt) Jauzein, 2010;Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova, 1967
Bolboschoenus Palla, 1905;Bolboschoenus (Asch.) Palla, 1905
Bombycilaena Smolj., 1955;Bombycilaena (DC.) Smolj., 1955
Boraginaceae A.L. Jussieu, 1789;Boraginaceae Juss., 1789
Bothriochloa O. Kuntze, 1891;Bothriochloa Kuntze, 1891
Brachiaria eruciformis (Sm.) Griseb., 1852;Moorochloa eruciformis (Sm.) Veldkamp, 2004
Brachypodium P. Beauv., 1812;Brachypodium P.Beauv., 1812
Brachypodium sylvaticum (Huds.) P.Beauv. subsp. sylvaticum;Brachypodium sylvaticum (Huds.) P.Beauv., 1812
Brachypodium sylvaticum subsp. glaucovirens Murb., 1891;Brachypodium glaucovirens (Murb.) Fritsch, 1909
Brassicaceae G.B. Burnett, 1835;Brassicaceae Burnett, 1835
Brassica oleracea (gemminifera Gp.) ;Brassica oleracea var. gemmifera DC., 1821
Brassica oleracea (Sabellica Gp.) ;Brassica oleracea var. sabellica (L.) Lambinon, 2004
Brassica oleracea var. botrytis L.;Brassica oleracea var. botrytis L., 1753
Brassica oleracea var. italica Plenck;Brassica oleracea var. italica Plenck, 1794
Brassica oleracea (Viridis Gp.) ;Brassica oleracea var. viridis (L.) Lambinon, 2004
Brassica rapa subsp. campestris (L.) Clapham, 1952;Brassica rapa var. campestris (L.) W.D.J.Koch, 1844
Brassica rapa subsp. oleifera (DC.) Metzg., 1833;Brassica rapa var. oleifera DC., 1821
Bromus;Bromus L., 1753
Bromus benekenii (Lange) Trimen, 1872;Bromopsis benekenii (Lange) Holub, 1973
Bromus carinatus Hook. & Arn., 1841;Ceratochloa carinata (Hook. & Arn.) Tutin, 1952
Bromus caroli-henrici Greuter;Bromus alopecuros subsp. caroli-henrici (Greuter) P.M.Sm., 1978
Bromus diandrus Roth, 1787;Anisantha diandra (Roth) Tutin ex Tzvelev, 1963
Bromus diandrus Roth subsp. diandrus;Anisantha diandra (Roth) Tutin ex Tzvelev, 1963
Bromus diandrus subsp. maximus (Desf.) Soó, 1972;Anisantha rigida (Roth) Hyl., 1945
Bromus erectus Huds., 1762;Bromopsis erecta (Huds.) Fourr., 1869
Bromus erectus Huds. subsp. erectus;Bromopsis erecta subsp. erecta 
Bromus fasciculatus C.Presl, 1820;Anisantha fasciculata (C.Presl) Nevski, 1934
Bromus hordeaceus subsp. divaricatus (Bonnier & Layens) Kerguélen, 1981;Bromus hordeaceus subsp. molliformis (J.Lloyd ex Godr.) Maire & Weiller, 1955
Bromus hordeaceus subsp. lepidus (Holmb.) A.Pedersen, 1974;Bromus lepidus Holmb., 1924
Bromus hordeaceus subsp. pseudothominei (P.Sm.) H.Scholz, 1970;Bromus pseudothominei P.Sm., 1968
Bromus inermis Leyss., 1761;Bromopsis inermis (Leyss.) Holub, 1973
Bromus inermis Leyss. subsp. inermis;Bromopsis inermis subsp. inermis 
Bromus madritensis L., 1755;Anisantha madritensis (L.) Nevski, 1934
Bromus pannonicus Kumm. & Sendtn., 1849;Bromopsis pannonica (Kumm. & Sendtn.) Holub, 1973
Bromus ramosus Huds., 1762;Bromopsis ramosa (Huds.) Holub, 1973
Bromus ramosus Huds. subsp. ramosus;Bromopsis ramosa subsp. ramosa 
Bromus rubens L., 1755;Anisantha rubens (L.) Nevski, 1934
Bromus secalinus L. subsp. secalinus;Bromus secalinus L., 1753
Bromus secalinus subsp. decipiens Bomble & H.Scholz, 1999;Bromus commutatus subsp. decipiens (Bomble & H.Scholz) H.Scholz, 2003
Bromus sitchensis Trin., 1832;Ceratochloa sitchensis (Trin.) Cope & Ryves, 1996
Bromus sterilis L., 1753;Anisantha sterilis (L.) Nevski, 1934
Bromus tectorum L., 1753;Anisantha tectorum (L.) Nevski, 1934
Bromus x husnotii A.Camus, 1929;Anisantha rigida (Roth) Hyl., 1945
Bulbocodium vernum L., 1753;Colchicum bulbocodium Ker Gawl., 1807
Bupleurum falcatum subsp. corsicum (Coss. & Kralik) Rouy & E.G.Camus, 1901;Bupleurum corsicum Coss. & Kralik, 1849
Calamagrostis purpurea subsp. phragmitoides (Hartm.) Tzvelev, 1965;Calamagrostis phragmitoides Hartm., 1843
Calamagrostis stricta (Timm) Koeler, 1802;Calamagrostis neglecta G.Gaertn., B.Mey. & Scherb., 1799
Calamagrostis x acutiflora (Schrad.) DC., 1815;Calamagrostis x subulata Dumort., 1824
Calicotome spinosa (L.) Link, 1822;Cytisus spinosus (L.) Bubani, 1899
Calicotome spinosa subsp. infesta (C.Presl) Burnat;Cytisus infestus (C.Presl) Guss., 1828
Calicotome spinosa subsp. spinosa ;Cytisus spinosus (L.) Bubani, 1899
Calicotome villosa (Poir.) Link, 1808;Cytisus lanigerus (Desf.) DC., 1805
Callistephus A.-H. Cassini;Callistephus Cass., 1825
Callitriche brutia var. brutia ;Callitriche brutia Petagna, 1787
Callitriche brutia var. hamulata (Kütz. ex W.D.J.Koch) Lansdown, 2006;Callitriche hamulata Kütz. ex W.D.J.Koch, 1837
Callitriche hermaphroditica L.;Callitriche hermaphroditica L., 1755
Calystegia R. Br., 1810;Convolvulus L., 1753
Calystegia sepium (L.) R.Br., 1810;Convolvulus sepium L., 1753
Calystegia sepium (L.) R.Br. subsp. pulchra (Brummitt & Heywood) Tutin;Convolvulus dubius J.L.Gilbert, 1963
Calystegia sepium (L.) R.Br. subsp. sepium;Convolvulus sepium L., 1753
Calystegia sepium subsp. silvatica (Kit.) Batt., 1890;Convolvulus silvaticus Kit., 1805
Calystegia soldanella (L.) Roem. & Schult., 1819;Convolvulus soldanella L., 1753
Campanula ficarioides Timb.-Lagr., 1862;Campanula scheuchzeri subsp. ficarioides (Timb.-Lagr.) H.Marcailhou & A.Marcailhou, 1907
Campanula glomerata subsp. cervicarioides (Schult.) Arcang., 1882;Campanula glomerata subsp. farinosa (Andrz.) Kirschl., 1851
Campanula hispanica Willk., 1868;Campanula rotundifolia subsp. hispanica (Willk.) O.Bolòs & Vigo
Campanula patula L. subsp. patula;Campanula patula var. patula 
Campanula patula subsp. costae (Willk.) Nyman, 1879;Campanula patula var. costae (Willk.) O.Bolòs & Vigo, 1983
Campanula persicifolia L. subsp. persicifolia;Campanula persicifolia L., 1753
Campanula persicifolia subsp. subpyrenaica (Timb.-Lagr.) Fed., 1973;Campanula persicifolia var. lasiocalyx Gren. & Godr., 1850
Cardamine impatiens L. subsp. impatiens;Cardamine impatiens L., 1753
Carduus acanthoides L. subsp. acanthoides;Carduus acanthoides L., 1753
Carduus argemone Pourr. ex Lam., 1785;Carduus defloratus subsp. argemone (Pourr. ex Lam.) Ces., 1844
Carduus carlinifolius Lam., 1785;Carduus defloratus subsp. carlinifolius (Lam.) Ces., 1844
Carduus medius Gouan, 1773;Carduus defloratus subsp. medius (Gouan) Bonnier, 1923
Carduus vivariensis Jord., 1846;Carduus nigrescens subsp. vivariensis (Jord.) Bonnier & Layens, 1894
Carduus vivariensis Jord. subsp. vivariensis;Carduus nigrescens subsp. vivariensis (Jord.) Bonnier & Layens, 1894
Carduus vivariensis subsp. australis (Jord.) Nyman, 1879;Carduus nigrescens Vill. subsp. nigrescens
Carex curta Gooden., 1794;Carex canescens L., 1753
Carex divulsa Stokes subsp. divulsa;Carex divulsa Stokes, 1787
Carex divulsa subsp. leersii (Kneuck.) W.Koch, 1923;Carex leersii F.W.Schultz, 1870
Carex ferruginea Scop. subsp. ferruginea;Carex ferruginea Scop., 1772
Carex ferruginea subsp. tenax (H.Christ) K.Richt., 1890;Carex austroalpina Bech., 1939
Carex flacca subsp. erythrostachys (Hoppe) Holub, 1988;Carex flacca subsp. serrulata (Biv.) Greuter, 1967
Carex ovalis Gooden., 1794;Carex leporina L., 1753
Carex ovalis Gooden. var. ovalis;Carex leporina L., 1753
Carex ovalis var. argyroglochin (Hornem.) De Langhe & Lambinon, 1973;Carex leporina var. argyroglochin (Hornem.) W.D.J.Koch, 1838
Carex viridula Michx. subsp. viridula;Carex viridula Michx., 1803
Carex viridula subsp. brachyrrhyncha (Celak.) B.Schmid, 1983;Carex lepidocarpa Tausch, 1834
Carex viridula subsp. oedocarpa (Andersson) B.Schmid, 1983;Carex demissa Vahl ex Hartm., 1808
Carex viridula var. elatior (Schltdl.) Crins, 1989;Carex lepidocarpa Tausch, 1834
Carex x boenninghausiana Weihe, 1825;Carex x boenninghauseniana Weihe, 1826
Carex x torfacea Fr., 1846;Carex x turfosa Fr., 1846
Carlina corymbosa L. subsp. corymbosa;Carlina corymbosa L., 1753
Carlina macrocephala Moris subsp. macrocephala;Carlina macrocephala Moris, 1827
Carlina vulgaris L. subsp. vulgaris;Carlina vulgaris L., 1753
Carthamus lanatus L. subsp. lanatus;Carthamus lanatus L., 1753
Carthamus tinctorius L.;Carthamus tinctorius L., 1753
Carum verticillatum (L.) W.D.J.Koch, 1824;Trocdaris verticillatum (L.) Raf., 1840
Caryophyllaceae A.L. Jussieu, 1789;Caryophyllaceae Juss., 1789
Castanea Hill, 1753;Castanea Mill., 1754
Ceanothus americanus L.;Ceanothus americanus L., 1753
Ceanothus impressus Trel.;Ceanothus impressus Trel., 1888
Cenchrus spinifex  Cav., 1799;Cenchrus incertus M.A.Curtis, 1835
Centaurea alpestris Hegetschw., 1839;Centaurea scabiosa subsp. alpestris (Hegetschw.) Nyman, 1879
Centaurea collina L. subsp. collina;Centaurea collina L., 1753
Centaurea jacea subsp. decipiens (Thuill.) Celak., 1871;Centaurea decipiens Thuill., 1799
Centaurea jacea subsp. nigra (L.) Bonnier & Layens, 1894;Centaurea nigra L., 1753
Centaurea jacea subsp. nigrescens (Willd.) Celak., 1871;Centaurea nigrescens Willd., 1803
Centaurea jacea var. debeauxii ;Centaurea decipiens Thuill., 1799
Centaurea jacea var. decipiens ;Centaurea decipiens Thuill., 1799
Centaurea jacea var. endressii (Dostál) B.Bock;Centaurea decipiens Thuill., 1799
Centaurea jacea var. microptilon (Godr.) Briq., 1902;Centaurea decipiens subsp. microptilon (Godr.) G.H.Loos
Centaurea jacea var. nigra ;Centaurea nigra L., 1753
Centaurea jacea var. ruscinonensis (Boiss.) B.Bock;Centaurea decipiens subsp. ruscinonensis (Boiss.) Dostál, 1976
Centaurea leucophaea Jord., 1847;Centaurea paniculata subsp. leucophaea (Jord.) Arcang., 1882
Centaurea leucophaea Jord. subsp. leucophaea;Centaurea paniculata var. leucophaea 
Centaurea leucophaea subsp. biformis (Timb.-Lagr.) Dostál, 1976;Centaurea paniculata var. biformis (Timb.-Lagr.) B.Bock, 2012
Centaurea leucophaea subsp. controversa (Briq. & Cavill.) Kerguélen, 1987;Centaurea pseudocineraria (Fiori) Rouy, 1904
Centaurea leucophaea subsp. pallidula Rouy, 1887;Centaurea paniculata subsp. pallidula Rouy, 1904
Centaurea nicaeensis All., 1785;Centaurea sicula (L.) Soják
Centaurea salicifolia M.Bieb. ex Willd., 1803;Centaurea phrygia subsp. salicifolia (M.Bieb. ex Willd.) Mikheev, 1999
Centaurea solstitialis L. subsp. solstitialis;Centaurea solstitialis L., 1753
Centaurea sonchifolia L., 1753;Centaurea seridis subsp. sonchifolia (L.) Greuter, 2003
Centaurea transalpina Schleich. ex DC., 1838;Centaurea nigrescens subsp. transalpina (Schleich. ex DC.) Nyman, 1879
Centaurea uniflora subsp. ferdinandii (Gren.) Bonnier, 1923;Centaurea nervosa Willd., 1809
Centaurea uniflora subsp. nervosa (Willd.) Bonnier & Layens, 1894;Centaurea nervosa Willd., 1809
