cdRef;nomValide
0;Nepeta cataria
0;Nicotiana glauca
0;Nothoscordum borbonicum
0;Oenothera ammophila
0;Oenothera biennis
0;Oenothera erythrosepala
0;Oenothera glazioviana
0;Oenothera longiflora
0;Oenothera oehlkersii
0;Oenothera parviflora
0;Oenothera pycnocarpa
0;Oenothera rosea
0;Oenothera stricta
0;Oenothera suaveolens
0;Oenothera subterminalis
0;Oenothera x fallax
0;Opuntia engelmannii
0;Opuntia ficus-indica
0;Opuntia humifusa
0;Opuntia imbricata
0;Opuntia macrorhiza
0;Opuntia monacantha
0;Opuntia rosea
0;Opuntia spp.
0;Opuntia stricta 
0;Orthilia secunda
0;Orthodontium lineare
0;Orthotrichum consimile
0;Oxalis articulata
0;Oxalis corniculata
0;Oxalis debilis
0;Oxalis dillenii
0;Oxalis fontana
0;Oxalis latifolia
0;Oxalis pes-caprae
0;Panicum capillare
0;Panicum dichotomiflorum
0;Panicum hillmannii
0;Panicum miliaceum
0;Paraserianthes lophantha
0;Parthenium hysterophorus
0;Parthenocissus inserta
0;Parthenocissus quinquefolia
0;Parthenocissus tricuspidata
0;Paspalum dilatatum
0;Paspalum distichum
0;Paspalum paniculatum
0;Paspalum paspaloides
0;Paspalum urvillei
0;Passiflora caerulea
0;Passiflora edulis
0;Passiflora suberosa
0;Pennisetum clandestinum
0;Pennisetum setaceum
0;Pennisetum villosum
0;Pentaglottis sempervirens
0;Periploca graeca
0;Persicaria capitata
0;Persicaria chinensis
0;Persicaria orientalis
0;Persicaria perfoliata
0;Persicaria polystachya
0;Persicaria spp.
0;Persicaria wallichii
0;Petasites fragrans
0;Petasites hybridus
0;Petasites paradoxus
0;Petasites pyrenaicus
0;Phalaris arundinacea var. picta
0;Phalaris canariensis
0;Phelipanche mutelii
0;Phelipanche ramosa
0;Phoenix canariensis
0;Phyla filiformis
0;Phyllostachys aurea
0;Phyllostachys spp.
0;Physalis peruviana
0;Physocarpus opulifolius
0;Phytolacca americana
0;Phytolacca dioica
0;Pinguicula hirtiflora
0;Pinus halepensis
0;Pinus nigra subsp. nigra
0;Pinus pinaster 
0;Pinus sylvestris
0;Pistia stratiotes
0;Pistia stratoides
0;Pittosporum tobira
0;Pityrogramma calomelanos
0;Platanus x hispanica
0;Platycladus orientalis
0;Poa annua
0;Podranea ricasoliana
0;Pogonatherum paniceum
0;Polygala myrtifolia
0;Polypogon maritimus
0;Populus alba
0;Populus x canescens
0;Portulaca oleracea
0;Potentilla indica
0;Potentilla norvegica
0;Potentilla recta
0;Prosopis glandulosa
0;Prosopis juliflora
0;Prunella vulgaris
0;Prunus cerasus
0;Prunus laurocerasus
0;Prunus serotina
0;Pseudofumaria alba
0;Pseudofumaria lutea
0;Pseudosasa japonica
0;Pseudotsuga menziesii
0;Psidium cattleianum
0;Pteris nipponica
0;Pteris vittata
0;Pterocarya fraxinifolia
0;Ptilostemon gnaphaloides
0;Puccinellia distans
0;Pueraria montana var. lobata
0;Pyracantha coccinea
0;Pyracantha pauciflora
0;Pyracantha spp.
0;Pyrus communis
0;Quercus palustris
0;Quercus rubra
0;Raphanus sativus
0;Rapistrum rugosum
0;Ravenala madagascariensis
0;Reseda alba
0;Reynoutria japonica
0;Reynoutria sachalinensis
0;Reynoutria x bohemica
0;Rhododendron ponticum
0;Rhus longipes
0;Rhus typhina
0;Ribes petraeum
0;Ricinus communis
0;Rivina humilis
0;Robinia pseudoacacia
0;Rosa rugosa
0;Rostraria cristata
0;Rubrivena polystachya
0;Rubus alceifolius
0;Rubus armeniacus
0;Rubus ellipticus
0;Rubus laciniatus
0;Rubus rosifolius
0;Rudbeckia laciniata
0;Ruellia brevifolia
0;Rumex abyssinicus
0;Rumex acetosella L. subsp. pyrenaicus
0;Rumex cristatus
0;Rumex patienta
0;Rumex steudelii
0;Rumex thyrsiflorus
0;Rumex triangulivalvis
0;Ruta graveolens
0;Saccharum spontaneum
0;Sagitaria graminea
0;Sagittaria latifolia
0;Salix daphnoides
0;Salpichroa origanifolia
0;Salvia coccinea
0;Salvia sclarea
0;Salvia verticillata
0;Salvinia molesta 
0;Sarracenia purpurea
0;Saururus cernuus
0;Schinus terebinthifolius 
0;Scirpus atrovirens
0;Sclerochloa dura
0;Scorzonera hispanica
0;Scrophularia vernalis
0;Scutellaria altissima
0;Secale cereale
0;Sechium edule
0;Senecio angulatus
0;Senecio cineraria
0;Senecio deltoideus
0;Senecio inaequidens
0;Senecio vernalis
0;Sesbania punicea
0;Setaria faberi
0;Setaria italica
0;Setaria parviflora
0;Setaria spp.
0;Sicyos angulata
0;Silybum marianum
0;Sinapis alba
0;Sisymbrium irio
0;Sisyrinchium angustifolium
0;Sisyrinchium montanum
0;Solanum bonariense
0;Solanum chenopodioides
0;Solanum commersonii
0;Solanum elaeagnifolium
0;Solanum laciniatum
0;Solanum mauritianum
0;Solanum physalifolium
0;Solanum pseudocapsicum
0;Solanum sarachoides
0;Solanum villosum
0;Solidago canadensis
0;Solidago gigantea
0;Soliva pterosperma
0;Sorbaria sorbifolia
0;Sorghum halepense
0;Sparaxis tricolor
0;Spartina alterniflora
0;Spartina anglica
0;Spartina versicolor
0;Spartina x townsendii
0;Spathodea campanulata
0;Spergula bocconii
0;Sphagneticola trilobata
0;Spiraea alba
0;Spiraea douglasii
0;Spiraea hypericifolia
0;Spiraea japonica
0;Spiraea salicifolia
0;Sporobolus indicus
0;Sporobolus vaginiflorus
0;Staphylea pinnata
0;Stenotaphrum secundatum
0;Stipa neesiana
0;Stipa trichotoma
0;Strobilanthes hamiltonianus
0;Symphoricarpos albus
0;Symphyotrichum gr. novi-belgii
0;Symphyotrichum lanceolatum
0;Symphyotrichum novae-angliae
0;Symphyotrichum squamatum
0;Symphyotrichum x salignum
0;Symphytum asperum
0;Symphytum bulbosum
0;Symphytum x uplandicum
0;Syzygium cumini
0;Syzygium jambos
0;Tagetes minuta
0;Tamarix parviflora
0;Tamarix ramosissima 
0;Taxodium distichum
0;Tecoma stans
0;Tetragonia tetragonoides
0;Tetrapanax papyriferum
0;Tibouchina urvilleana
0;Tolpis staticifolia
0;Trachelium caeruleum
0;Trachycarpus fortunei
0;Tradescantia fluminensis
0;Tragus racemosus
0;Trema orientalis
0;Trifolium angustifolium
0;Trifolium incarnatum
0;Trifolium nigrescens
0;Trifolium resupinatum
0;Triphasia trifolia
0;Tropaeolum majus
0;Ulex europaeus 
0;Urochloa maxima
0;Verbascum thapsus
0;Verbena bonariensis
0;Veronica filiformis
0;Veronica peregrina
0;Veronica persica
0;Vicia disperma
0;Vicia hybrida
0;Vicia peregrina
0;Vinca major
0;Vitis labrusca
0;Vitis riparia
0;Vitis rupestris
0;Vitis spp.
0;Vitis vinifera
0;Vitis vulpina
0;Wigandia caracasana
0;Xanthium albinum
0;Xanthium italicum
0;Xanthium orientale
0;Xanthium spinosum
0;Xanthium strumarium
0;Yucca filamentosa
0;Yucca gloriosa
0;Zantedeschia aethiopica
